_id,metadata.speed,metadata.bateria,metadata.numSV,metadata.dateUtcIso,metadata.accH,metadata.hMSL,metadata.lng,metadata.lat
5ffa4386b38af81a0c0713ea,0.12,240,16,2021-01-10T00:00:01.000Z,0.072,20.605,-40.2450799,-20.2425503
5ffa4388b38af81a0c0713ef,0.02,242,15,2021-01-10T00:00:03.000Z,0.055,20.602,-40.2450814,-20.2425518
5ffa438ab38af81a0c0713f2,0.01,238,15,2021-01-10T00:00:05.000Z,0.049,20.619,-40.2450815,-20.2425515
5ffa438cb38af81a0c0713f5,0.64,242,16,2021-01-10T00:00:07.000Z,0.053,20.659,-40.2450783,-20.2425459
5ffa438db38af81a0c0713f9,0.96,239,16,2021-01-10T00:00:09.000Z,0.073,20.603,-40.2450671,-20.2425324
5ffa438fb38af81a0c0713fc,0.88,240,15,2021-01-10T00:00:10.000Z,0.091,20.609,-40.2450616,-20.242526
5ffa4390b38af81a0c0713fe,0.71,241,15,2021-01-10T00:00:11.000Z,0.063,20.554,-40.2450568,-20.2425208
5ffa4392b38af81a0c071400,0.4,242,15,2021-01-10T00:00:12.000Z,0.058,20.518,-40.2450534,-20.2425168
5ffa4393b38af81a0c071403,0.85,241,14,2021-01-10T00:00:13.000Z,0.057,20.531,-40.2450493,-20.242512
5ffa439ab38af81a0c07140b,1.09,240,13,2021-01-10T00:00:14.000Z,0.061,20.543,-40.245043,-20.2425046
5ffa439ab38af81a0c07140e,1.29,242,14,2021-01-10T00:00:15.000Z,0.057,20.542,-40.2450353,-20.2424961
5ffa439ab38af81a0c071410,1.84,242,14,2021-01-10T00:00:16.000Z,0.063,20.527,-40.245025,-20.2424847
5ffa439ab38af81a0c07140a,2.34,242,14,2021-01-10T00:00:17.000Z,0.063,20.574,-40.2450124,-20.2424688
5ffa439ab38af81a0c071411,2.5,242,14,2021-01-10T00:00:18.000Z,0.076,20.629,-40.2449992,-20.2424508
5ffa439bb38af81a0c071412,2.68,240,14,2021-01-10T00:00:19.000Z,0.092,20.59,-40.2449837,-20.2424317
5ffa439db38af81a0c071414,2.56,242,14,2021-01-10T00:00:20.000Z,0.073,20.65,-40.2449694,-20.2424123
5ffa439db38af81a0c071416,2.43,239,15,2021-01-10T00:00:21.000Z,0.065,20.552,-40.2449574,-20.242393
5ffa439db38af81a0c071417,2.44,240,15,2021-01-10T00:00:22.000Z,0.053,20.545,-40.2449473,-20.2423728
5ffa439eb38af81a0c071419,2.33,239,15,2021-01-10T00:00:23.000Z,0.059,20.601,-40.2449368,-20.242354
5ffa43a0b38af81a0c07141b,2.07,242,15,2021-01-10T00:00:24.000Z,0.055,20.565,-40.2449255,-20.2423377
5ffa43a1b38af81a0c07141c,1.64,242,15,2021-01-10T00:00:25.000Z,0.063,20.646,-40.2449149,-20.2423254
5ffa43a2b38af81a0c07141e,0.94,240,14,2021-01-10T00:00:26.000Z,0.054,20.681,-40.2449074,-20.2423179
5ffa43a3b38af81a0c071420,0.32,240,14,2021-01-10T00:00:27.000Z,0.057,20.677,-40.2449039,-20.2423146
5ffa43a4b38af81a0c071421,0.33,240,15,2021-01-10T00:00:28.000Z,0.054,20.68,-40.2449048,-20.2423156
5ffa43a6b38af81a0c071423,1.27,241,14,2021-01-10T00:00:30.000Z,0.057,20.554,-40.2449129,-20.2423325
5ffa43a7b38af81a0c071425,1.36,239,14,2021-01-10T00:00:31.000Z,0.074,20.65,-40.2449205,-20.242343
5ffa43a9b38af81a0c071427,1.2,238,13,2021-01-10T00:00:33.000Z,0.127,20.613,-40.2449464,-20.2423504
5ffa43aab38af81a0c07142b,0.63,240,13,2021-01-10T00:00:33.000Z,0.069,20.967,-40.2449631,-20.2423489
5ffa43abb38af81a0c07142c,0.03,240,12,2021-01-10T00:00:36.000Z,0.068,20.9,-40.2449629,-20.2423488
5ffa43adb38af81a0c07142e,0.89,239,12,2021-01-10T00:00:36.000Z,0.118,21.014,-40.2449721,-20.2423422
5ffa43afb38af81a0c071430,0.35,241,13,2021-01-10T00:00:40.000Z,0.119,20.395,-40.2449799,-20.2423347
5ffa43b0b38af81a0c071432,0.0,238,15,2021-01-10T00:00:41.000Z,0.136,21.714,-40.2449854,-20.2423338
5ffa43b2b38af81a0c071436,0.14,240,12,2021-01-10T00:00:43.000Z,0.125,20.761,-40.244981,-20.2423346
5ffa43b4b38af81a0c071438,1.22,241,13,2021-01-10T00:00:45.000Z,0.1,20.721,-40.2449658,-20.2423402
5ffa43b5b38af81a0c07143a,1.28,240,13,2021-01-10T00:00:47.000Z,0.177,20.925,-40.2449429,-20.2423371
5ffa43b7b38af81a0c07143c,1.23,238,13,2021-01-10T00:00:49.000Z,0.085,21.104,-40.2449263,-20.2423197
5ffa43b9b38af81a0c07143f,0.82,240,15,2021-01-10T00:00:51.000Z,0.062,20.749,-40.2449205,-20.2423032
5ffa43bbb38af81a0c071441,0.3,240,13,2021-01-10T00:00:53.000Z,0.057,20.766,-40.2449161,-20.2422923
5ffa43bdb38af81a0c071444,0.23,240,14,2021-01-10T00:00:55.000Z,0.051,20.678,-40.2449168,-20.2422942
5ffa43beb38af81a0c071446,0.78,239,15,2021-01-10T00:00:57.000Z,0.052,20.642,-40.2449201,-20.2423005
5ffa43c0b38af81a0c071449,1.71,242,14,2021-01-10T00:00:59.000Z,0.057,20.659,-40.2449318,-20.2423231
5ffa43c1b38af81a0c07144b,2.01,239,14,2021-01-10T00:01:01.000Z,0.06,20.73,-40.2449465,-20.2423564
5ffa43c3b38af81a0c07144f,2.29,239,15,2021-01-10T00:01:03.000Z,0.049,20.748,-40.2449622,-20.2423926
5ffa43c5b38af81a0c071452,2.65,241,15,2021-01-10T00:01:05.000Z,0.052,20.715,-40.2449789,-20.2424345
5ffa43c6b38af81a0c071454,2.55,242,15,2021-01-10T00:01:06.000Z,0.053,20.733,-40.2449881,-20.2424557
5ffa43c8b38af81a0c071456,2.49,241,15,2021-01-10T00:01:07.000Z,0.06,20.695,-40.2449953,-20.2424773
5ffa43c9b38af81a0c071459,2.13,240,15,2021-01-10T00:01:08.000Z,0.062,20.67,-40.2450045,-20.2424965
5ffa43cab38af81a0c07145b,0.78,239,15,2021-01-10T00:01:09.000Z,0.063,20.604,-40.2450095,-20.242505
5ffa43ccb38af81a0c07145e,0.08,240,14,2021-01-10T00:01:10.000Z,0.052,20.689,-40.2450112,-20.2425073
5ffa43cdb38af81a0c07145f,0.01,242,15,2021-01-10T00:01:11.000Z,0.068,20.727,-40.2450109,-20.2425075
5ffa43ceb38af81a0c071461,0.0,239,14,2021-01-10T00:01:12.000Z,0.076,20.727,-40.2450107,-20.2425074
5ffa43cfb38af81a0c071463,0.01,241,16,2021-01-10T00:01:13.000Z,0.065,20.6,-40.2450106,-20.2425069
5ffa43d0b38af81a0c071464,0.01,239,13,2021-01-10T00:01:14.000Z,0.065,20.582,-40.2450104,-20.2425068
5ffa43d1b38af81a0c071466,0.01,240,16,2021-01-10T00:01:15.000Z,0.053,20.593,-40.2450102,-20.2425069
5ffa43d3b38af81a0c071468,0.44,241,15,2021-01-10T00:01:16.000Z,0.052,20.56,-40.2450115,-20.2425085
5ffa43d4b38af81a0c071469,1.07,242,14,2021-01-10T00:01:17.000Z,0.057,20.546,-40.2450165,-20.2425152
5ffa43d5b38af81a0c07146b,1.13,240,15,2021-01-10T00:01:18.000Z,0.056,20.531,-40.2450221,-20.2425234
5ffa43d6b38af81a0c07146c,1.22,242,14,2021-01-10T00:01:19.000Z,0.067,20.556,-40.2450282,-20.2425323
5ffa43d7b38af81a0c07146e,1.19,238,14,2021-01-10T00:01:20.000Z,0.062,20.595,-40.2450343,-20.2425424
5ffa43d8b38af81a0c071470,0.92,242,14,2021-01-10T00:01:21.000Z,0.061,20.547,-40.2450389,-20.2425508
5ffa43d9b38af81a0c071472,0.75,241,14,2021-01-10T00:01:22.000Z,0.086,20.536,-40.2450421,-20.2425569
5ffa43dbb38af81a0c071474,0.58,242,15,2021-01-10T00:01:23.000Z,0.093,20.58,-40.2450456,-20.242562
5ffa43dbb38af81a0c071475,0.6,238,16,2021-01-10T00:01:24.000Z,0.094,20.543,-40.2450498,-20.242566
5ffa43ddb38af81a0c071477,0.36,241,16,2021-01-10T00:01:25.000Z,0.092,20.539,-40.2450523,-20.2425692
5ffa43deb38af81a0c071479,0.08,240,16,2021-01-10T00:01:26.000Z,0.052,20.649,-40.2450537,-20.2425709
5ffa43dfb38af81a0c07147a,0.02,239,15,2021-01-10T00:01:27.000Z,0.05,20.723,-40.245054,-20.242571
5ffa43e1b38af81a0c07147c,0.0,241,16,2021-01-10T00:01:29.000Z,0.054,20.8,-40.2450542,-20.2425709
5ffa43e2b38af81a0c07147e,0.01,240,16,2021-01-10T00:01:30.000Z,0.052,20.837,-40.2450543,-20.242571
5ffa43e3b38af81a0c071480,0.24,240,16,2021-01-10T00:01:31.000Z,0.054,20.853,-40.2450537,-20.24257
5ffa43e5b38af81a0c071482,0.79,238,16,2021-01-10T00:01:32.000Z,0.055,20.858,-40.2450462,-20.2425618
5ffa43e6b38af81a0c071484,1.19,240,16,2021-01-10T00:01:35.000Z,0.065,20.863,-40.2450327,-20.2425457
5ffa43e7b38af81a0c071485,1.56,239,15,2021-01-10T00:01:36.000Z,0.057,20.825,-40.2450243,-20.2425351
5ffa43e8b38af81a0c071487,1.66,239,15,2021-01-10T00:01:37.000Z,0.048,20.838,-40.2450101,-20.2425091
5ffa43ebb38af81a0c07148a,2.05,238,15,2021-01-10T00:01:40.000Z,0.07,20.803,-40.2449994,-20.2424766
5ffa43ecb38af81a0c07148c,2.23,240,14,2021-01-10T00:01:42.000Z,0.066,20.836,-40.2449846,-20.2424414
5ffa43eeb38af81a0c07148d,2.44,242,14,2021-01-10T00:01:44.000Z,0.069,20.842,-40.2449685,-20.2424014
5ffa43f0b38af81a0c07148f,2.16,240,15,2021-01-10T00:01:46.000Z,0.05,20.875,-40.2449498,-20.2423629
5ffa43f2b38af81a0c071492,1.85,242,14,2021-01-10T00:01:48.000Z,0.066,20.81,-40.2449268,-20.2423341
5ffa43f3b38af81a0c071495,1.36,238,15,2021-01-10T00:01:50.000Z,0.067,20.774,-40.2449073,-20.24231
5ffa43f5b38af81a0c071497,0.88,242,15,2021-01-10T00:01:52.000Z,0.048,20.792,-40.2448971,-20.242295
5ffa43f7b38af81a0c07149a,1.03,242,10,2021-01-10T00:01:54.000Z,0.068,20.765,-40.2448873,-20.24228
5ffa43f9b38af81a0c07149d,0.84,238,14,2021-01-10T00:01:56.000Z,0.084,20.81,-40.2448782,-20.2422663
5ffa43fab38af81a0c07149f,0.38,240,14,2021-01-10T00:01:58.000Z,0.07,20.642,-40.2448691,-20.242257
5ffa43fdb38af81a0c0714a2,0.72,238,15,2021-01-10T00:02:00.000Z,0.069,20.685,-40.2448724,-20.2422614
5ffa43feb38af81a0c0714a4,1.32,238,15,2021-01-10T00:02:01.000Z,0.066,20.776,-40.2448782,-20.242271
5ffa43ffb38af81a0c0714a6,1.44,240,12,2021-01-10T00:02:02.000Z,0.071,20.718,-40.244884,-20.2422822
5ffa4400b38af81a0c0714aa,1.75,242,15,2021-01-10T00:02:03.000Z,0.063,20.739,-40.2448922,-20.2422945
5ffa4402b38af81a0c0714ac,1.61,238,14,2021-01-10T00:02:04.000Z,0.071,20.79,-40.2449043,-20.2423038
5ffa4403b38af81a0c0714ae,0.92,239,12,2021-01-10T00:02:05.000Z,0.08,20.618,-40.244915,-20.2423076
5ffa4404b38af81a0c0714b0,0.4,240,14,2021-01-10T00:02:06.000Z,0.094,20.284,-40.2449184,-20.2423074
5ffa4405b38af81a0c0714b3,0.78,238,15,2021-01-10T00:02:07.000Z,0.074,20.146,-40.2449242,-20.2423055
5ffa4406b38af81a0c0714b5,1.01,242,15,2021-01-10T00:02:08.000Z,0.059,20.19,-40.2449323,-20.242302
5ffa4407b38af81a0c0714b6,0.62,239,13,2021-01-10T00:02:09.000Z,0.072,20.239,-40.2449401,-20.2422992
5ffa4408b38af81a0c0714b8,0.63,240,12,2021-01-10T00:02:10.000Z,0.062,20.389,-40.2449454,-20.2422973
5ffa440ab38af81a0c0714ba,0.48,238,15,2021-01-10T00:02:11.000Z,0.064,20.367,-40.2449502,-20.2422952
5ffa440bb38af81a0c0714bb,0.02,240,14,2021-01-10T00:02:12.000Z,0.079,20.395,-40.2449514,-20.2422945
5ffa440cb38af81a0c0714bd,0.01,242,12,2021-01-10T00:02:13.000Z,0.054,20.388,-40.2449514,-20.2422945
5ffa440db38af81a0c0714be,0.03,239,14,2021-01-10T00:02:14.000Z,0.051,20.451,-40.2449515,-20.2422943
